"word","class"
"excited",1
"unsure",1
"interesting.",1
"novel",1
"worried",1
"excited",1
"scared",1
"nervous",1
"nervous",1
"anxious",1
"exciting",1
"scared",1
"excited",1
"hard",1
"intrigued",1
"excited",1
"challenging",1
"try",1
"venturesome",1
"exciting",1
"calm",1
"nervous",1
"excited",1
"excited",1
"nervous",1
"excited",1
"motivated",1
"challenging",1
"excitement",1
"excited",1
"nervous",1
"excited",1
"anxious",1
"anticipated",1
"nervous",1
"nervous",1
"nervous",1
"excited",1
"compulsory",1
"anxious",1
"excited",1
"collect",1
"innovative",1
"tough",1
"exciting",1
"interesting",1
"curious",1
"cooperation",1
"prepared",1
"excited",1
"anxious",1
"stressed",1
"nervous",1
"intrigued",1
"uneasy",1
"excited",1
"anxious",1
"independent",1
"nervous",1
"anticipatory",1
"nervous",1
"excited",1
"excited",1
"excited",1
"excited",1
"nervous",1
"scared",1
"challenging",1
"excited",1
"interesting",1
"excited",1
"professional",1
"concerned",1
"excited",1
"ambitious",1
"optimistic",1
"excited",1
"hopeful",1
"confused",1
"new.",1
"unknown",1
"excited",1
"nervous",1
"nervous",1
"united",1
"stressed",1
"nervous",1
"unknown",1
"nervous",1
"nervous",1
"teamwork",1
"interested",1
"apprehensive",1
"excited",1
"work",1
"interested",1
"interesting",1
"hopeful",1
"worried",1
"nervous",1
"curious",1
"curious",1
"nervous",1
"open-minded",1
"difficult",1
"curiosity",1
"interested",1
"worried",1
"nervous",1
"scared",1
"excited",1
"teamwork",1
"curious",1
"worry",1
"nervous",1
"necessary",1
"nervous",1
"worried",1
"process",1
"practical",1
"groups",1
"nervous",1
"useful",1
"unfamiliar",1
"communication",1
"excited",1
"nervous",1
"apprehensive",1
"hopeful",1
"curious",1
"anxious",1
"stressful",1
"nervous",1
"nervous",1
"special",1
"excited",1
"hardworking",1
"curious",1
"unsure",1
"interested",1
"curious",1
"nervous",1
"excited",1
"anxious",1
"final",1
"stress",1
"curious",1
"nervous",1
"precise",1
"anxious",1
"anxious",1
"intrigued",1
"assured",1
"curious",1
"prepared",1
"anxious",1
"exciting.",1
"challenging",1
"self-doubt",1
"confused",1
"afraid",1
"hard",1
"curious",1
"excited",1
"difficult",1
"worried",1
"interested",1
"tricky",1
"curious",1
"semi-prepared",1
"worry",1
"report",1
"doubtful",1
"expecting",1
"reassured",1
"excited",1
"challenged",1
"nervous",1
"interested",1
"curious",1
"challenged",1
"nervous",1
"interest",1
"nervous",1
"scared",1
"happy",1
"nervous",1
"nervous",1
"practice",1
"excited",1
"difficult",1
"eager",1
"must",1
"worried",1
"enjoy",1
"analyse",1
"ambiguous",1
"interesting",1
"challenging",1
"necessary",1
"scared",1
"scholarship",1
"nervous",1
"calm",1
"confused",1
"excited",1
"fine",1
"curious",1
"nervous",1
"scared",1
"unsettled",1
"professional",1
"curious",1
"difficult",1
"anticipation",1
"questions",1
"curious",1
"interested",1
